STOPID,ROUTE
1000001,A4
1000001,A4v1
1000001,W5
1000003,A4
1000003,A4v2
1000003,W5
1000004,A4
1000004,A4v1
1000004,A4v2
1000004,A4v3
1000004,W1
1000005,A4
1000005,A4v1
1000005,W5
1000006,A4
1000006,A4v2
1000006,W5
1000007,A4
1000007,A4v1
1000007,A4v2
1000007,A4v4
1000007,A4v5
1000007,W1
1000008,A4
1000008,A4v1
1000008,A4v2
1000008,A4v4
1000008,A4v5
1000008,W1
1000009,A7
1000010,A4
1000010,A4v1
1000010,A4v2
1000010,A4v3
1000010,W1
1000012,A4
1000012,A4v1
1000012,A4v2
1000012,A4v4
1000012,A4v5
1000012,W1
1000013,A4
1000013,A4v1
1000013,W5
1000014,A6
1000014,A6v1
1000014,A8
1000014,A8v1
1000014,A9
1000015,A4
1000015,A4v2
1000015,W5
1000016,A4
1000016,A4v1
1000016,A4v2
1000016,A4v3
1000016,W1
1000017,A6
1000017,A6v1
1000017,A8
1000017,A8v1
1000018,A4
1000018,A4v1
1000018,A4v2
1000018,A4v4
1000018,A4v5
1000018,W1
1000019,A8
1000019,A9
1000020,A8
1000020,A8v1
1000020,A9
1000023,A6
1000023,A6v1
1000023,A8
1000023,A8v1
1000024,A4
1000024,A4v1
1000024,A4v2
1000024,A4v3
1000024,W1
1000025,A6
1000025,A6v1
1000025,A8
1000025,A8v1
1000025,A9
1000026,A8
1000027,A8
1000027,A8v1
1000028,A4
1000028,A4v1
1000028,A4v2
1000028,A4v4
1000028,A4v5
1000028,W1
1000029,A6
1000029,A6v1
1000029,A8
1000029,A8v1
1000030,A6
1000030,A6v1
1000030,A8
1000030,A8v1
1000031,A4
1000031,A4v1
1000031,A4v2
1000031,A4v3
1000031,W1
1000032,A4
1000032,A4v1
1000032,A4v2
1000032,A4v4
1000032,A4v5
1000032,W1
1000033,A8
1000034,A4
1000034,A4v2
1000034,W5
1000035,A8
1000035,A8v1
1000036,A4
1000036,A4v1
1000037,A4
1000037,A4v2
1000038,A6
1000038,A6v1
1000038,A8
1000038,A8v1
1000039,A4
1000039,A4v1
1000039,A4v2
1000039,A4v3
1000039,W1
1000040,A4
1000040,A4v2
1000040,A4v4
1000040,A4v5
1000040,W1
1000041,A6
1000041,A6v1
1000041,A8
1000041,A8v1
1000041,A9
1000042,A8
1000043,A8
1000043,A8v1
1000044,A4
1000044,A4v1
1000044,A4v2
1000044,A4v3
1000044,W1
1000045,A4
1000045,A4v2
1000045,A4v4
1000045,A4v5
1000045,W1
1000046,A2
1000046,A2v2
1000046,W1
1000048,A2
1000048,A2v2
1000048,W1
1000049,A2
1000049,A2v2
1000049,W1
1000051,A2
