STOPID,NAME
1000001,SHEPHERD PKY SW + SHEPHERD PKY SW
1000003,SHEPHERD PKY SW + DC VILLAGE LN
1000004,MARTIN LUTHER KING JR AVE SW + JOLIET ST SW
1000005,SHEPHERD PKY SW + FIRE DEPARTMENT TRAINING CENTER
1000006,SHEPHERD PKY SW + FIRE DEPARTMENT TRAINING CENTER
1000007,IRVINGTON ST SW + MARTIN LUTHER KING JR AVE SW
1000008,IRVINGTON ST SW + IVANHOE ST SW
1000009,SOUTHERN AVE SE + S CAPITOL ST SE
1000010,MARTIN LUTHER KING JR AVE SW + #4660
1000012,MARTIN LUTHER KING JR AVE SW + BLUE PLAINS DR SW
1000013,OVERLOOK AVE SW + SHEPHERD PKY SW
1000014,6TH ST SE + SOUTHERN AVE SE
1000015,OVERLOOK AVE SW + LABORATORY RD
1000016,MARTIN LUTHER KING JR AVE SW + GALVESTON ST SW
1000017,3RD ST SE + LIVINGSTON RD SE
1000018,MARTIN LUTHER KING JR AVE SW + GALVESTON PL SW
1000019,S CAPITOL ST SE + GALVESTON ST SW
1000020,S CAPITOL ST SE + 1ST ST SE
1000023,6TH ST SE + GALVESTON PL SE
1000024,MARTIN LUTHER KING JR AVE SW + FORRESTER ST SW
1000025,3RD ST SE + #4501
1000026,S CAPITOL ST SE + FORRESTER ST SW
1000027,S CAPITOL ST SE + FORRESTER ST SE
1000028,MARTIN LUTHER KING JR AVE SW + ELMIRA ST SW
1000029,6TH ST SE + DARRINGTON ST SE
1000030,LIVINGSTON TER SE + #304
1000031,MARTIN LUTHER KING JR AVE SW + DARRINGTON ST SW
1000032,MARTIN LUTHER KING JR AVE SW + DARRINGTON ST SW
1000033,S CAPITOL ST SE + DANBURY ST SW
1000034,OVERLOOK AVE SW + MAGAZINE RD
1000035,S CAPITOL ST SW + DANBURY ST SE
1000036,CHESAPEAKE ST SW + 2ND ST SW
1000037,CHESAPEAKE ST SW + 2ND ST SW
1000038,4TH ST SE + CHESAPEAKE ST SE
1000039,MARTIN LUTHER KING JR AVE SW + CHESAPEAKE ST SW
1000040,MARTIN LUTHER KING JR AVE SW + CHESAPEAKE ST SW
1000041,6TH ST SE + CHESAPEAKE ST SE
1000042,S CAPITOL ST SW + BRANDYWINE ST SE
1000043,S CAPITOL ST SW + BRANDYWINE ST SE
1000044,MARTIN LUTHER KING JR AVE SW + BRANDYWINE PL SW
1000045,MARTIN LUTHER KING JR AVE SW + BRANDYWINE PL SW
1000046,ATLANTIC ST SE + LIVINGSTON RD SE
1000048,ATLANTIC ST SE + VALLEY AVE SE
1000049,BARNABY ST SE + ATLANTIC ST SE
1000051,ATLANTIC ST SE + 1ST ST SE
1000052,BARNABY ST SE + ATLANTIC ST SE
1000053,CONDON TER SE + 4TH ST SE
1000054,CONDON TER SE + 4TH ST SE
1000055,MISSISSIPPI AVE SE + ATLANTIC ST SE
1000056,MISSISSIPPI AVE SE + ATLANTIC ST SE
1000057,8TH ST SE + YUMA ST SE
1000058,CONDON TER SE + YUMA ST SE
1000059,S CAPITOL ST SW + ATLANTIC ST SW
1000060,8TH ST SE + YUMA ST SE
1000061,BARNABY ST SE + 9TH ST SE
1000062,S CAPITOL ST SW + #3921
1000063,CONDON TER SE + YUMA ST SE
1000064,SOUTHERN AVE SE + WHEELER RD SE
1000065,BARNABY ST SE + 9TH ST SE
1000066,WHEELER RD SE + BELLEVUE ST SE
